id	GSM474708_con	GSM474709_con	GSM474710_con	GSM474711_con	GSM474712_con	GSM474713_con	GSM474714_con	GSM474715_con	GSM474716_con	GSM474717_con	GSM474718_con	GSM474719_con	GSM474720_con	GSM474721_con	GSM474722_con	GSM474723_con	GSM474724_con	GSM474725_con	GSM474726_con	GSM474727_con	GSM474728_con	GSM474729_con	GSM474730_con	GSM474731_con	GSM474732_con	GSM474733_con	GSM474734_con	GSM474735_con	GSM474736_con	GSM474737_con	GSM474738_con	GSM474739_con	GSM474740_con	GSM474741_con	GSM474742_con	GSM474743_con	GSM474744_con	GSM474745_con	GSM474746_con	GSM474747_con	GSM474748_con	GSM474749_con	GSM474750_con	GSM474751_con	GSM474752_con	GSM474753_con	GSM474754_con	GSM474755_con	GSM474756_con	GSM474757_con	GSM474758_con	GSM474759_con	GSM474760_con	GSM474797_con	GSM474832_con	GSM474833_con	GSM474834_con	GSM474835_con	GSM474836_con	GSM474837_con	GSM474838_con	GSM474839_con	GSM474840_con	GSM474761_treat	GSM474762_treat	GSM474763_treat	GSM474769_treat	GSM474775_treat	GSM474781_treat	GSM474782_treat	GSM474785_treat	GSM474786_treat	GSM474790_treat	GSM474791_treat	GSM474792_treat	GSM474793_treat	GSM474794_treat	GSM474795_treat	GSM474796_treat	GSM474798_treat	GSM474801_treat	GSM474804_treat	GSM474805_treat	GSM474810_treat	GSM474811_treat	GSM474814_treat	GSM474815_treat	GSM474818_treat	GSM474819_treat	GSM474821_treat	GSM474823_treat	GSM474824_treat	GSM474827_treat	GSM474830_treat	GSM474831_treat	GSM474764_treat	GSM474765_treat	GSM474766_treat	GSM474767_treat	GSM474768_treat	GSM474770_treat	GSM474771_treat	GSM474772_treat	GSM474773_treat	GSM474774_treat	GSM474776_treat	GSM474777_treat	GSM474778_treat	GSM474779_treat	GSM474780_treat	GSM474783_treat	GSM474784_treat	GSM474787_treat	GSM474788_treat	GSM474789_treat	GSM474799_treat	GSM474800_treat	GSM474802_treat	GSM474803_treat	GSM474806_treat	GSM474807_treat	GSM474808_treat	GSM474809_treat	GSM474812_treat	GSM474813_treat	GSM474816_treat	GSM474817_treat	GSM474820_treat	GSM474822_treat	GSM474825_treat	GSM474826_treat	GSM474828_treat	GSM474829_treat
DLST	8.559014	8.687667	8.392943	8.460795	8.425352	8.310633	8.878748	8.599947	8.363299	8.374602	8.431309	8.231921	8.538282	8.752143	8.914936	8.656206	8.74129	8.508108	8.709357	8.686386	8.85258	8.743455	8.569371	8.740684	8.416238	8.534811	8.610649	8.867366	8.87055	8.572902	8.777812	8.697302	8.635211	8.489866	8.675524	8.848647	8.687128	8.287944	8.56931	8.676521	8.633938	8.710878	8.480435	8.660607	8.694354	8.512195	8.695247	8.51963	8.353475	8.793352	8.703586	8.473493	8.576896	7.710024	7.840944	7.637164	7.961883	8.045747	7.861446	7.744134	7.714371	7.970195	7.818195	7.660982	7.355578	7.423595	7.540063	7.36679	7.890856	7.694662	7.325508	7.113017	7.888056	7.747454	7.437401	7.621212	7.388398	7.725394	7.595191	7.441668	7.498777	7.567704	7.763377	7.704009	7.281387	7.545533	7.462225	7.846009	7.792038	7.331916	7.675444	7.501742	7.543975	7.552514	7.400797	7.218424	7.406018	7.771996	7.599202	8.153784	7.434566	7.613144	7.395422	7.524806	7.658414	7.520513	7.27768	7.287865	7.497541	7.501296	7.521698	7.755926	7.490924	7.105717	7.305879	7.567016	7.530417	8.075136	7.491875	7.373791	7.726893	8.056381	7.257461	7.200831	7.813511	7.600358	8.020569	7.505376	7.686736	7.889582	7.024059	8.261273	6.800026
PIP5K1A	7.385959	7.225281	7.186852	7.049066	7.171395	7.065519	7.353244	7.115457	6.967111	7.310626	7.267026	7.44903	7.434582	7.143028	7.457718	7.343962	7.332455	7.330961	7.195935	7.250358	7.229435	7.116471	7.28408	7.320148	7.367857	6.987468	7.212584	6.761908	7.147855	7.290772	7.476374	7.278288	7.267542	7.540049	7.470636	7.130422	7.191204	7.249839	7.178019	7.415007	7.470615	7.531218	7.457407	7.274778	7.211553	7.411774	7.353897	6.807215	7.437943	7.324793	7.36464	7.424654	7.441625	6.683033	6.82489	6.810626	6.67395	6.940712	6.758519	6.739923	6.883962	6.744046	6.384585	6.646814	6.716252	6.868171	6.526725	6.521989	6.567633	6.642234	6.837726	6.741187	6.830334	6.773421	6.699544	6.974608	6.702331	6.55044	6.525953	7.114691	7.03316	6.344669	7.070715	6.469009	6.740844	6.824939	6.70569	6.782715	6.448635	6.476871	6.527877	6.272054	6.592842	6.824607	6.819263	6.709448	6.660024	6.966307	6.569762	6.674321	6.652766	6.492675	6.434491	6.517944	6.394105	6.445404	6.611007	6.942924	6.722112	6.834407	6.872214	6.387351	6.640254	6.834246	7.024098	6.666852	6.698513	6.120833	6.962356	6.428799	6.804168	6.537865	6.491833	6.725821	7.042644	6.544418	6.609522	6.289589	6.181123	6.467787	6.52805	6.480229	6.2847
LSP1	12.186148	12.084648	11.742875	11.788848	12.000978	11.961003	11.87095	11.902562	11.327319	12.193723	12.245703	11.807572	12.819656	12.21844	11.985536	12.531378	12.237173	11.878124	12.363011	12.354706	12.265025	12.078294	11.891071	12.289448	12.52176	11.986555	12.218228	12.03784	11.828005	12.720427	12.476401	12.35312	11.728978	12.611729	11.76408	13.177654	12.172612	11.921733	11.766227	12.570726	12.097177	12.36018	12.725855	12.891328	12.208472	12.091693	12.280875	12.975201	11.785173	11.948594	11.98006	12.085374	12.619085	11.632389	12.296787	11.947331	11.22972	11.265471	12.643962	11.170216	11.448401	11.786143	11.367355	11.328492	11.507566	11.281706	10.664301	10.956889	10.188966	10.637647	10.82862	11.228803	11.448805	10.279811	10.805072	11.485485	11.721671	11.602484	10.989586	11.799128	10.905952	10.836673	12.285427	11.0942	11.060003	10.731295	12.28921	11.06098	10.753335	10.152552	11.594607	10.64124	11.866412	11.852805	11.378692	10.975991	11.044618	11.016319	10.770945	10.228211	10.795912	10.048871	10.398593	10.936566	10.701679	10.190625	10.464426	11.588535	10.31618	11.209722	10.867987	9.961667	11.203624	11.219816	11.225979	11.109084	11.307555	10.52792	11.620141	9.876916	12.10543	11.595994	11.511979	11.180921	11.473259	11.623686	11.567394	10.396986	11.176993	10.74319	10.45755	10.244615	9.518779
TRRAP	8.186276	8.005752	7.589861	7.61109	7.999322	7.7146	8.509519	7.609059	7.092862	8.241351	7.703442	7.99971	8.011969	7.939724	8.496049	8.245783	8.605611	8.287868	8.314076	7.851541	8.321291	8.374406	8.078912	8.444983	8.248165	7.652113	7.744546	7.87022	8.091181	7.880377	8.411869	8.287268	8.004255	8.235096	8.119833	8.359404	7.877694	7.339971	7.788035	8.11679	8.175991	8.043689	7.971607	7.74457	7.626065	8.154979	8.089576	7.813834	7.557081	8.071373	8.056096	7.584145	7.928705	7.097228	7.728947	7.495959	6.992858	6.944289	7.730226	6.80523	7.453786	6.818304	6.771218	7.168093	7.16091	7.43351	6.978288	7.359564	6.763265	6.942768	7.051468	7.286983	7.334328	7.131653	6.574613	7.283184	7.02035	7.377753	7.325742	7.529579	6.925181	6.335069	7.89129	7.227062	6.943844	6.732721	7.425526	6.152411	6.65525	6.772162	6.521285	6.531943	7.209405	7.237578	7.401096	6.971813	6.500381	7.474189	7.257015	6.688721	7.220485	6.837499	7.069972	6.686832	6.473193	7.181007	6.815049	6.817683	6.186206	7.474933	7.669044	6.984413	6.946042	7.167921	7.090789	6.760622	7.118986	6.891343	7.123932	6.394145	7.839335	7.262185	6.483908	7.014968	7.140727	7.507375	7.087649	6.745537	6.188756	6.334288	6.71136	6.240929	6.43925
RALA	5.213739	6.036787	6.40327	6.571812	6.228373	5.901227	5.924666	6.104844	6.123335	6.108201	5.860837	6.378004	5.663981	5.792572	5.729185	6.220883	5.850724	6.106756	5.473534	5.626758	5.429637	5.233583	5.162912	5.531581	5.507582	5.354969	5.099821	4.941085	5.523928	5.261379	5.878248	5.98205	5.930609	5.455946	4.992552	5.611306	5.59972	4.945171	5.968858	5.064449	5.598954	5.633474	5.291807	4.583988	5.417947	5.530678	5.458561	5.283473	5.157228	5.500406	5.43913	5.35127	5.282073	5.91075	5.934821	5.920162	6.203193	5.641963	5.305306	5.840854	5.938111	5.590315	6.031216	6.336511	6.690886	6.589774	6.835495	6.348801	6.989774	6.98792	6.478928	6.596123	6.08017	6.335137	6.32531	6.122748	5.881907	6.571734	6.429203	6.078191	6.465335	6.685274	5.827925	6.815105	6.463482	6.340877	5.991747	6.68965	6.92534	6.356092	6.67349	6.54884	6.664079	6.14984	6.510587	6.93037	6.367272	6.20286	6.684142	6.451337	6.62491	7.281116	7.349981	6.596363	6.180952	6.754426	6.841929	6.166606	6.655832	6.573143	6.484403	6.833899	6.622197	6.111576	5.778987	5.955823	6.518948	6.537568	6.275678	6.715985	6.060955	5.868932	6.246872	6.413175	5.843839	6.524005	5.975747	6.496789	6.614393	5.73743	6.708374	5.340203	6.983076
PTK2B	9.267453	8.758316	8.541401	8.558957	8.66166	8.777613	8.934871	8.786188	8.400052	9.240935	9.037385	8.751636	9.41627	9.356844	9.186736	9.449181	9.106679	8.938398	8.958732	8.806732	8.935182	8.66645	8.808372	8.789622	9.07534	8.913901	8.927466	8.640635	8.701857	9.342787	9.034137	9.010279	8.963428	9.199193	9.118109	9.555495	8.830511	9.088559	8.731553	9.101135	8.872143	9.21301	9.222952	9.654028	9.118167	9.100554	9.169074	9.706492	9.089155	8.762239	8.620278	9.153792	9.374857	8.872831	9.207558	8.820669	8.349936	9.21551	9.283556	8.700402	8.756899	9.198422	8.5278	8.214524	8.519393	8.480999	8.230907	8.21742	7.844646	8.166684	8.335831	8.143593	8.490834	8.177865	8.399183	8.411995	8.603409	8.351719	8.25795	9.020305	8.491321	8.369504	8.962772	8.423156	8.498252	8.385535	9.037879	8.248713	8.394558	8.104957	8.548075	8.356241	8.735775	8.622163	8.447878	8.306303	8.280749	8.466518	8.25714	8.002456	7.98582	7.699037	8.009985	8.134405	8.285573	8.045648	8.195125	8.613342	8.352102	8.087134	8.204446	7.735837	8.302799	8.385509	8.483918	8.739638	8.594527	8.071017	8.883745	8.115108	9.001133	8.880149	8.796739	8.65309	8.804773	8.622884	8.689557	8.142563	8.076779	8.514024	8.222347	8.573787	7.775084
PIK3CD	10.050785	9.752487	9.468979	9.583338	10.169403	10.017865	9.487105	9.37614	8.752292	10.047249	9.99275	9.86405	10.382768	9.294951	9.766701	9.890254	9.91635	9.355631	9.755418	9.896702	9.536796	9.089607	9.402048	9.890847	10.049698	9.715435	9.822137	9.452623	9.548117	10.22964	10.131904	10.043682	9.410279	10.107293	9.718279	9.901157	9.643429	9.161537	9.420532	10.006279	10.01664	10.169061	10.147414	10.385893	9.527106	9.70394	9.537272	9.547109	9.756674	9.464216	9.603047	9.62348	10.337274	9.135096	9.205023	8.958456	8.491637	8.511145	9.518239	8.622195	8.761053	8.871553	8.611014	8.901316	9.212508	9.213494	8.429496	8.787441	8.695148	8.864038	8.914651	9.000768	9.121367	8.810486	8.679492	9.099938	9.062891	9.209614	8.625757	9.406009	8.901599	8.47533	9.065682	8.484788	8.740325	8.879911	9.173671	8.683333	8.501546	9.019561	8.812125	8.781857	8.969996	9.00318	8.756908	9.0529	8.468325	9.031623	9.167722	8.720627	8.563659	8.60456	8.648782	8.928653	8.955396	8.694196	8.480732	9.440202	8.649947	9.075514	9.076733	8.67883	8.997682	9.175956	9.236894	8.924641	8.821389	8.849447	9.027566	8.459867	9.274987	8.804457	8.720138	8.734635	8.969333	8.509872	8.974082	8.244307	8.284878	8.665074	8.576014	8.877685	8.123142
RAB5C	10.32212	10.394694	10.158996	10.218794	10.441567	10.399676	10.246344	10.611573	10.315694	10.503119	10.526948	10.273323	10.805174	10.757924	10.404956	10.585969	10.456355	10.308122	10.533341	10.712675	10.40594	10.145055	10.270425	10.341943	10.601105	10.487295	10.449072	9.901523	10.221769	10.708906	10.604294	10.52817	10.304878	10.713185	10.597331	10.870474	10.644464	10.50254	10.207717	10.805667	10.498679	10.572112	10.863195	10.988685	10.628008	10.681069	10.649485	10.788303	10.489781	10.409389	10.353851	10.509063	10.681847	10.619898	10.518807	10.430293	10.340658	10.296197	10.568653	10.585068	10.464943	10.77522	10.446834	9.796065	10.292974	10.35547	9.822406	9.907068	9.568903	9.707183	9.93984	9.77513	9.745683	9.560704	9.753015	9.737172	9.993419	9.691256	9.536255	10.552329	10.572531	9.700287	10.532401	9.937396	10.085975	10.387979	10.075176	10.285302	9.557047	10.095614	9.74476	9.954529	10.117816	10.183264	10.08422	10.026268	9.9616	9.568279	10.168214	9.776444	9.626927	9.205799	9.579918	9.963339	9.624038	9.620749	9.458856	10.253372	9.716544	9.858035	9.8466	9.212171	9.74037	10.119801	9.749465	10.260151	10.188318	10.299473	10.396497	9.940758	10.47943	9.965087	10.046532	10.226608	10.450482	10.209192	10.393006	9.717557	9.274842	10.100755	9.875976	10.436684	9.425536
CYTH1	9.585231	9.419174	9.370106	9.28749	9.586676	9.310327	9.430105	9.428318	9.103778	9.594098	9.510525	9.544809	9.614498	9.235815	9.318338	9.370335	9.72327	9.299601	9.45087	9.322149	9.489254	9.359948	9.224289	9.318341	9.503787	9.278412	9.357535	9.329973	9.520175	9.482068	9.784382	9.561765	9.461794	9.737621	9.319422	9.347411	9.114335	8.96354	9.17275	9.44482	9.41699	9.491819	9.518031	9.369835	9.050115	9.58045	9.298008	8.938185	8.943967	9.290733	9.451844	9.057156	9.574153	8.368733	8.96074	8.926317	9.038275	8.798856	9.053359	8.411091	8.678802	8.159756	8.134533	8.686053	8.94217	9.000635	8.622863	8.606486	8.617012	8.512861	8.946636	8.906192	8.687337	8.623004	8.643031	8.650579	8.575124	8.709984	8.492209	9.31605	8.861901	8.284183	9.457491	8.707413	8.591473	8.560096	9.030494	8.523423	8.213143	8.395192	8.641512	8.404222	8.722886	8.69144	8.982427	8.763329	8.564946	8.926302	8.920526	8.69766	8.576944	8.574647	8.698852	8.55699	8.193309	8.367988	8.339918	8.788557	8.381642	8.98467	8.869753	8.707294	8.467818	8.774261	8.825043	8.669276	8.609341	8.451362	9.022576	8.327278	9.040592	8.685939	8.531437	8.795325	8.844029	8.870636	8.520497	8.164589	8.470864	8.213756	8.33981	8.24673	7.963695
NDRG3	8.139764	8.06942	7.864637	8.130433	8.660118	8.22295	7.613322	7.902603	7.327155	8.267821	8.25747	8.212605	8.234284	7.873431	7.748062	8.013566	8.100089	7.684888	8.051552	8.0511	8.148654	7.882274	7.82327	8.352009	8.12368	7.798558	7.980198	8.05905	7.815414	8.301913	8.306229	8.214823	7.762024	8.338469	7.756883	8.351675	7.889507	7.817867	8.031736	8.389297	8.290776	8.290459	8.353915	8.240097	8.187978	8.100817	7.839094	8.13954	7.786043	8.14318	8.171041	7.768879	8.300477	7.669319	7.666813	7.528875	7.434343	7.165191	7.660476	7.716952	7.242046	7.45871	7.585522	7.779769	7.488696	7.507325	7.169626	7.366961	7.324063	7.509567	7.458945	7.47592	7.48167	7.414155	6.949488	7.586339	7.510557	7.840793	7.405231	7.758324	7.492004	7.34881	7.786717	7.295988	7.207507	7.505493	7.458843	7.523514	7.253119	7.820841	7.643458	7.264805	7.680963	7.637565	7.257027	7.299583	7.257189	7.579307	7.782382	7.314881	7.332737	7.426564	7.45738	7.440231	7.469516	7.184737	7.179197	7.510877	6.960294	7.909905	7.504611	7.118418	7.756554	7.432635	7.548231	7.36039	7.286385	7.714146	7.540094	7.115909	7.788242	7.563835	7.349024	7.492194	7.504134	7.520122	7.352576	7.2415	7.265946	7.686424	7.14243	7.604921	7.306203
