id	GSM474708_con	GSM474709_con	GSM474710_con	GSM474711_con	GSM474712_con	GSM474713_con	GSM474714_con	GSM474715_con	GSM474716_con	GSM474717_con	GSM474718_con	GSM474719_con	GSM474720_con	GSM474721_con	GSM474722_con	GSM474723_con	GSM474724_con	GSM474725_con	GSM474726_con	GSM474727_con	GSM474728_con	GSM474729_con	GSM474730_con	GSM474731_con	GSM474732_con	GSM474733_con	GSM474734_con	GSM474735_con	GSM474736_con	GSM474737_con	GSM474738_con	GSM474739_con	GSM474740_con	GSM474741_con	GSM474742_con	GSM474743_con	GSM474744_con	GSM474745_con	GSM474746_con	GSM474747_con	GSM474748_con	GSM474749_con	GSM474750_con	GSM474751_con	GSM474752_con	GSM474753_con	GSM474754_con	GSM474755_con	GSM474756_con	GSM474757_con	GSM474758_con	GSM474759_con	GSM474760_con	GSM474797_con	GSM474832_con	GSM474833_con	GSM474834_con	GSM474835_con	GSM474836_con	GSM474837_con	GSM474838_con	GSM474839_con	GSM474840_con	GSM474761_treat	GSM474762_treat	GSM474763_treat	GSM474769_treat	GSM474775_treat	GSM474781_treat	GSM474782_treat	GSM474785_treat	GSM474786_treat	GSM474790_treat	GSM474791_treat	GSM474792_treat	GSM474793_treat	GSM474794_treat	GSM474795_treat	GSM474796_treat	GSM474798_treat	GSM474801_treat	GSM474804_treat	GSM474805_treat	GSM474810_treat	GSM474811_treat	GSM474814_treat	GSM474815_treat	GSM474818_treat	GSM474819_treat	GSM474821_treat	GSM474823_treat	GSM474824_treat	GSM474827_treat	GSM474830_treat	GSM474831_treat	GSM474764_treat	GSM474765_treat	GSM474766_treat	GSM474767_treat	GSM474768_treat	GSM474770_treat	GSM474771_treat	GSM474772_treat	GSM474773_treat	GSM474774_treat	GSM474776_treat	GSM474777_treat	GSM474778_treat	GSM474779_treat	GSM474780_treat	GSM474783_treat	GSM474784_treat	GSM474787_treat	GSM474788_treat	GSM474789_treat	GSM474799_treat	GSM474800_treat	GSM474802_treat	GSM474803_treat	GSM474806_treat	GSM474807_treat	GSM474808_treat	GSM474809_treat	GSM474812_treat	GSM474813_treat	GSM474816_treat	GSM474817_treat	GSM474820_treat	GSM474822_treat	GSM474825_treat	GSM474826_treat	GSM474828_treat	GSM474829_treat
Activated.B.cell	0.644437080510059	0.704820684709362	0.726040007564753	0.697604146940667	0.611758482661734	0.669223216670468	0.646548399115888	0.648029541906195	0.649863757320785	0.667078780028661	0.695316421423045	0.765094641101678	0.677261183462846	0.622171969471866	0.660812013977758	0.671960060601936	0.628458256077997	0.74077457438955	0.62225646719335	0.669482429414489	0.648296031838054	0.700502239812807	0.626341861125485	0.725771843113934	0.670998133197187	0.649022519223085	0.663271668644336	0.758891747791085	0.665957948170279	0.617090613377634	0.720106813255786	0.614244626099315	0.698538684100207	0.700332395449116	0.660957799619583	0.612112961835309	0.704677522338318	0.509153237141467	0.658567565379304	0.654916811288269	0.654962193861668	0.651891704070413	0.568598278304716	0.613871164819067	0.590065829851735	0.554927736552873	0.634955459785939	0.627827736365775	0.560417753537517	0.634401294985121	0.697377004624185	0.546660274197205	0.690612672474815	0.617194035258677	0.60865975105411	0.547628282954827	0.558592229845221	0.646913326501192	0.648195575484747	0.68382244028077	0.661337173504131	0.497555574714313	0.596784670807057	0.676497140827942	0.433069253525988	0.536892081945103	0.599489401500125	0.607007665673846	0.538928716742503	0.573483053736478	0.677565413961373	0.718549188873873	0.66209334504211	0.688063189229541	0.518565231957208	0.699046735811532	0.58839426152893	0.680774991826113	0.621858436306884	0.659674952952232	0.558351888305699	0.656047874362976	0.576937341036975	0.55891766780275	0.561260972648169	0.555630255666209	0.666022188862976	0.612211239210542	0.69162194566359	0.707470831149899	0.690236536062498	0.648688668115567	0.704644046833361	0.57152227157291	0.684425579640617	0.407864237472019	0.704370816737262	0.593099700753356	0.627697618426444	0.592686398699029	0.538853550262391	0.542179573373576	0.695854416799422	0.55526241673697	0.57442038545606	0.524538958841644	0.577660734506534	0.54372053081163	0.598783529469198	0.704760504292521	0.680751890863554	0.753174302836473	0.742730795657312	0.658130979781384	0.501768179218061	0.578909649662039	0.499642009266066	0.54068464882847	0.419889138296051	0.483149025036897	0.664970912096325	0.657518160478693	0.607015294548015	0.606331676777722	0.565507500324337	0.676440884299066	0.546803614973992	0.618550577449639	0.694745946514505	0.538405885684701	0.529888780313617	0.561056261567971	0.577713540854574
Activated.CD4.T.cell	0.496088165736413	0.474498180512229	0.514469049759773	0.532635112654597	0.490598857006085	0.493346907734049	0.442544720083079	0.519845953095504	0.513216183925128	0.484456233520767	0.485743859386822	0.537425289222041	0.479964793269103	0.447301509538293	0.477842306230108	0.425916804850457	0.47332787913945	0.48028988321573	0.443107652148329	0.472958219065151	0.470757401090183	0.482996195582144	0.43724048888994	0.460679628893803	0.473658810549737	0.492816421780912	0.481795034922184	0.470144586947765	0.500765853506912	0.440057554613786	0.500935593773721	0.485714449193489	0.526199874244063	0.461034342456054	0.424714072102795	0.428581722018643	0.470194366055598	0.417119757629492	0.465352478055117	0.444407699953936	0.454559253897535	0.463443699112329	0.4402661954721	0.442401453734186	0.45656258505411	0.474349686576812	0.448891020919503	0.473349653778064	0.416466056290014	0.491364658280034	0.464871805386236	0.40471174714265	0.432604142647418	0.454467017232151	0.435349760049426	0.452768184626155	0.504112896008785	0.433061868539533	0.431479988574828	0.398976514751738	0.429207527448915	0.391233361232988	0.494344996947681	0.479910299986232	0.471760851588921	0.487662488775875	0.55171565875545	0.52780945368589	0.536942650246003	0.510326110157293	0.518091838082831	0.562366723783827	0.41813824540319	0.495877104236206	0.475423007173808	0.433294600750109	0.418955565626976	0.430514931440455	0.497568307803459	0.492662036315216	0.485467956364242	0.480511230390311	0.483997512551178	0.465409546322147	0.503565648374681	0.496480632566309	0.440291656156597	0.380267030816872	0.568312824710089	0.479837601828425	0.380843779354261	0.50094810173557	0.468954038370984	0.432748136823511	0.510857024483878	0.497241014308672	0.504279538212627	0.513827771391005	0.509835983619934	0.514788398190426	0.532255292075459	0.545259666130924	0.600270317688812	0.500256088116301	0.488422991463175	0.538998174893711	0.523888173896551	0.482211907127003	0.47659054450074	0.535908537274611	0.526343809058597	0.559151952510609	0.468230896544883	0.483903789817492	0.510536323690372	0.44860498421703	0.472034956274995	0.521028486444885	0.492067129949241	0.486713416446688	0.454050803885611	0.418957477481241	0.37136807003911	0.498002605999783	0.447195386820351	0.455947936786443	0.453277296587567	0.511601976066606	0.419917712987779	0.452529350340464	0.527413993998767	0.427917231437065	0.540430788200905
Activated.CD8.T.cell	0.823703055916633	0.762301579460025	0.849492515065571	0.856253815369069	0.822684069271744	0.799404330746221	0.776156846031919	0.835590740854576	0.836992994941997	0.83814033969356	0.826385929567674	0.856932037599481	0.820120143838149	0.789916581662759	0.806816859269954	0.77422780131663	0.800198877910134	0.764032556651281	0.769399128056244	0.758707894210576	0.805290367839889	0.819834479693782	0.797850322253196	0.780986447981853	0.770387992622221	0.809289752486027	0.786722009599563	0.796181296576396	0.827987319906961	0.821574939598718	0.821253522637868	0.818202558215898	0.834648962863415	0.791431747694267	0.789783399865602	0.792196493486152	0.787929083194523	0.778922715111272	0.810002987030815	0.791399114016615	0.783939441720697	0.780904382609555	0.785946466100163	0.779980171638188	0.786907696733284	0.776745711271739	0.787907767437797	0.78610971526561	0.765380797246423	0.783350242593641	0.776403172664739	0.725584145866476	0.744639992516097	0.797529421857129	0.811994185323742	0.809816457997779	0.85579829971384	0.820862201799089	0.824318916758426	0.802835322294822	0.805197487168014	0.795290833056568	0.845396712555695	0.842246359809438	0.77316539656409	0.841914634966658	0.885811562405423	0.832540517008673	0.860734917718423	0.841329812880685	0.835063952732941	0.820417960616227	0.820467501442246	0.829088362488837	0.822757809992947	0.804366785480962	0.821643691449027	0.826606329532082	0.829073915089832	0.789226035417777	0.825992483272161	0.862121011254277	0.823053280579025	0.845658574769568	0.80554361276438	0.830808462238346	0.789626091067555	0.826079973544715	0.868284966113934	0.832889748300586	0.869471386108306	0.862174996850737	0.847937156390492	0.78598782061368	0.869084921314215	0.804425637629727	0.811427053924789	0.809332404697641	0.803414632596913	0.839812090610798	0.853890489650919	0.885782360232432	0.840933702209654	0.835475718544939	0.837157794546291	0.863942053476805	0.855313318230473	0.783505154487569	0.827937312496448	0.846330287324359	0.852397070344852	0.881159515839721	0.852408261326372	0.781629709987844	0.81200440744126	0.808463135619084	0.81064443156106	0.841699939554264	0.837755816195108	0.818241083448803	0.825608678804111	0.838516682327434	0.80659696123238	0.826283139759986	0.813363753626245	0.835324869212224	0.832694367830139	0.891065675201789	0.851394340785306	0.858786577023173	0.876390749476751	0.808811917259722	0.904687903496978
Activated.dendritic.cell	0.845910320544111	0.834558686246519	0.83593068411652	0.787892638437482	0.806336385365919	0.835611209543442	0.788011236330585	0.809929128711947	0.820470745811885	0.860208247399915	0.839569754448816	0.807732489830195	0.837981767054759	0.827446659781247	0.790753960764985	0.803157178716356	0.798675002935911	0.811663732796548	0.80289794825387	0.837563651898408	0.796065196272152	0.776348053460356	0.793421280014979	0.80567214357609	0.830298765983023	0.802289686052234	0.81343765386939	0.779080866553951	0.781445463719436	0.851492306069809	0.79519799815898	0.82578122348888	0.801382157239014	0.836672426838847	0.837412685205534	0.832824157155817	0.843044612343584	0.819004317272038	0.797953837517677	0.830690257273046	0.815436815718976	0.815733561683779	0.845569118340772	0.825280697813735	0.81994848896155	0.819173687091783	0.811311196075961	0.810284629773332	0.854724761760998	0.798600070845639	0.799097300790806	0.83381500710118	0.817711453820628	0.791478938453905	0.809471325955023	0.800726125286031	0.792847030113156	0.777716958190739	0.8180200558094	0.800355953424007	0.791251122368457	0.781364067323344	0.77587859727188	0.784610732889334	0.860737178102505	0.827402653291704	0.767682822931505	0.817260420571411	0.797972664950811	0.812014736948135	0.785192602048677	0.828246272774229	0.799691095449108	0.784105739470695	0.807238935312131	0.792745850648862	0.809530620635846	0.79682040350882	0.792598129344469	0.843494967829037	0.818848846975868	0.812266903030476	0.804886108444496	0.786795185303808	0.811724819840613	0.794076074763833	0.806105499449799	0.804074846317123	0.785171487502972	0.761246725154448	0.735254518274285	0.782340594277872	0.776581423869	0.835815226433513	0.787078187314731	0.843040464296709	0.802111815121364	0.81145261572773	0.79000719383163	0.801960707097862	0.805194327156059	0.790705371851138	0.799760135333155	0.82646451191109	0.789646498401742	0.786083877545513	0.843748216787541	0.844013818362219	0.814234981050866	0.796699551602844	0.833700569767703	0.761461650542576	0.793496839392703	0.8681881053706	0.851692013849243	0.841199552402038	0.818847915052452	0.797780963861684	0.865848676715333	0.793429363243612	0.794641207915272	0.752194378457785	0.80997679015329	0.815219102499171	0.799085357440281	0.782906012495859	0.787108764779387	0.753133578775303	0.74842341227273	0.779510873176523	0.817802971070932	0.77385637187032	0.744399420800526
CD56bright.natural.killer.cell	0.487294617858165	0.511929225993779	0.513201576218007	0.525540914627252	0.522122638099937	0.52370742197024	0.517657000087623	0.520518540355856	0.546865937732949	0.508143553427774	0.521770114912051	0.506957539019781	0.505489738022011	0.523106233267246	0.492495808591738	0.518550713708921	0.509616167144366	0.515503890482797	0.514147645055181	0.533593033687602	0.527352468819447	0.512869491196879	0.516325656035465	0.506039244307023	0.502967050870927	0.51284624092313	0.496993502712583	0.50346785677538	0.474535845741434	0.495697435257745	0.504396502647178	0.480696121171254	0.515954769114853	0.502847243027151	0.49487348430801	0.517351933073676	0.520176049959782	0.513425107587224	0.520556925942745	0.498416663766781	0.511894664948151	0.499535195235322	0.501800844953969	0.506304291270531	0.521507103668383	0.493469008640886	0.513899643514121	0.513763363953427	0.501734046103199	0.526388266052234	0.511829485214892	0.518510028170017	0.478297460652077	0.496563257919042	0.497205377160577	0.525154133450116	0.539049924561117	0.546415146732137	0.510944299353854	0.518597183727235	0.496606031024411	0.52150148468631	0.52268129888823	0.517823344811327	0.519627076251068	0.52335406625484	0.536177881346301	0.527526581006336	0.545411744329065	0.528372169802243	0.526551405474067	0.500070035762704	0.509146874920392	0.507900537297452	0.542856435531837	0.517867613793216	0.50610027942077	0.488889016466636	0.511145983220602	0.522723153088372	0.529662272112507	0.508986141165153	0.503900072567781	0.507223253305288	0.512009484893118	0.534981586713236	0.492387524560141	0.504902700631693	0.527909880154759	0.524204513275794	0.500124726388169	0.542855395020607	0.531656691413768	0.544626049054519	0.535773566913903	0.53935109640125	0.50886071601252	0.5327505914503	0.505022054693047	0.543550427491578	0.527405870675242	0.546617626951616	0.525696897179894	0.52212406122217	0.508427030568084	0.528037478888677	0.529232627890694	0.530511982004067	0.567680313191474	0.493918637358201	0.50863713069662	0.517999889862953	0.503889038069521	0.516499262502031	0.527513400508404	0.549645680090672	0.571094461729612	0.568131370659738	0.491624375136754	0.547648080638061	0.49424126498798	0.483507883105091	0.528786507772232	0.514685554085044	0.512964166387098	0.503760792514161	0.5159219278895	0.525216555781116	0.525017093623848	0.510640145584639	0.528385345807059	0.545168440469401	0.563782817047269
CD56dim.natural.killer.cell	0.566693967874559	0.540926656438402	0.546379932178883	0.520300182972149	0.57091375403688	0.504858399975906	0.601978089648773	0.534327157395587	0.561070782762644	0.539187445017707	0.553128887572288	0.563359769599245	0.591019873102877	0.606007949721646	0.581455258369133	0.559158218561573	0.667084657358954	0.634985158262564	0.587118467799028	0.53839556460214	0.671961106708222	0.642046661999279	0.59217113224115	0.652071922282549	0.563066151476666	0.541396935385792	0.614301012184168	0.585389773090157	0.574121610637434	0.594195401810088	0.599120044439399	0.599131685237816	0.591705269533556	0.576142076185136	0.564732873971382	0.589001515295231	0.588100845913926	0.68467423292315	0.628299297064157	0.556943513987667	0.63599653783236	0.630153613736389	0.6139888084321	0.636139703437253	0.653786696696136	0.614550872761371	0.567048682641298	0.606982336840282	0.609442032896715	0.558841160553974	0.656660397516246	0.599286000447835	0.575286695430362	0.595374554983802	0.635664107070375	0.616578820433124	0.626267684965647	0.658295564876583	0.702644566936492	0.670998563875542	0.675217774931393	0.69694626185828	0.690199669955925	0.632060172387189	0.61187863481243	0.59275894933982	0.526211712464461	0.621414511697028	0.553325674816814	0.520731289091062	0.599635823717064	0.561135896440092	0.584316409931896	0.578024707715154	0.554516701908971	0.635174024320758	0.6650037472269	0.648054777176576	0.593421521572155	0.574834384770287	0.574183026624661	0.577598696949315	0.6164854904612	0.599392856815804	0.596742529208438	0.573960011411534	0.560249754318158	0.613363969550181	0.657408020166475	0.684950963241277	0.700491702320408	0.615370016829438	0.619620083135696	0.56039586053657	0.609889009687746	0.587045881163104	0.648817769099123	0.572260826908484	0.605395464146965	0.592513063309385	0.581830722976238	0.50780808367404	0.553430508763583	0.564601777491228	0.589296046950573	0.517029683964785	0.544846112560219	0.521289793731717	0.570269140377487	0.59206462458353	0.55826703443242	0.537787848199058	0.600181726768212	0.558495624732719	0.568953859656151	0.591454826039759	0.584350545012803	0.583328277469402	0.598881088561774	0.51317062274223	0.689260582885691	0.707436380468699	0.677109491724819	0.579255088784274	0.613595047635984	0.68452651907481	0.670246070393797	0.625914155810838	0.682052935264485	0.682259927119386	0.566560000010687	0.693293647317508	0.599042343502348
Eosinophil	0.287478938774337	0.39122222496357	0.420477820431543	0.354031014361348	0.360300829528185	0.379122799799657	0.294509511919953	0.3793087638446	0.415317052257946	0.338169399721211	0.394220793461879	0.331121999569241	0.332483638312925	0.34027498562307	0.317259057909594	0.324118148845122	0.352389171602903	0.328410495519718	0.307766620858499	0.358655660890853	0.300443487560932	0.322217268886456	0.311026734842206	0.293928868849522	0.307820934821528	0.362509793278448	0.309491131556631	0.283797195500943	0.280443250537096	0.353719751075995	0.276667418113691	0.315491473392801	0.303179997468938	0.336637606060242	0.294408517782008	0.275965083066205	0.338995928462719	0.268055781733445	0.282369008639712	0.313162177014699	0.296972669234412	0.271894500880196	0.308400961525744	0.31052854141525	0.273912153318457	0.266781409003845	0.296432115360389	0.284896516214621	0.339759616995403	0.286447303020775	0.25977794789355	0.279958747003908	0.323728816368858	0.337626782632964	0.269788156341585	0.380331195349413	0.31505493646388	0.299025636249343	0.292783641125128	0.302474991099496	0.317702121764953	0.351004685682513	0.319261129078554	0.256563657016726	0.390800965539023	0.416295665809089	0.373261055388957	0.356583879108927	0.399673984477478	0.392547132267973	0.334759711523709	0.364658137700415	0.318668372068611	0.370030559065687	0.396756995962669	0.252058875080031	0.297495486471004	0.266664129771766	0.321007162475335	0.379433380479577	0.385035736127679	0.391356477212632	0.249950847025183	0.317854018712686	0.356454304778121	0.330421956404436	0.342345417561754	0.252945426326521	0.21442419773221	0.348210498136808	0.256868746034728	0.409020703842446	0.334921740294656	0.354717846463293	0.330151773826106	0.372392997571735	0.255489460133136	0.334156558103846	0.334796143912671	0.398787807379596	0.336113809986898	0.37119693720496	0.322322235006992	0.369968844661407	0.390487503382389	0.342748082007337	0.384541349367079	0.406144134993918	0.438315651207764	0.35050648763196	0.345763195741696	0.365981705056612	0.332251944006876	0.361503815083003	0.336454692623485	0.312866430508504	0.363987937343703	0.388158121263976	0.378242388684956	0.392522555277911	0.298614875065961	0.214109296669467	0.371879575815821	0.386384294784669	0.318566702188099	0.241933165200477	0.271941530895884	0.315114169664999	0.315482054575837	0.293693399195298	0.38365329217044	0.299203223154148	0.337577837050111
Gamma.delta.T.cell	0.543844830889094	0.558140937874655	0.595190625587934	0.575655158481911	0.575845089256341	0.568176494085521	0.526483012708104	0.592574523194621	0.58880008414032	0.577352768549541	0.58753921294561	0.583741014637386	0.565315803357875	0.538357410747745	0.538260919028128	0.533498975340274	0.551364929533819	0.566708519753235	0.564551529643024	0.559189462032573	0.567994020561593	0.54615090682868	0.548680991703758	0.569237411281483	0.55151430468423	0.579137902692932	0.584066083172488	0.540604934852144	0.561462265772426	0.559637893721927	0.551930237766277	0.559005896063832	0.584106752931718	0.57041494540492	0.541000178101494	0.538734418337342	0.549003973377645	0.538035278817907	0.56479969090461	0.535717819305724	0.554229925968963	0.540539145873703	0.537330708466178	0.560116247577873	0.546785960554423	0.560772017616535	0.535083617295319	0.562934797231298	0.521834248503063	0.529363786462027	0.55266176965409	0.524276383792113	0.524123851996542	0.589368876185987	0.523112742570717	0.543320745010566	0.570999902561423	0.567292800091109	0.548137132140155	0.558352615714948	0.548049842476834	0.551938982899563	0.596643184581682	0.532731808042918	0.56920026498017	0.617334746465094	0.609327055640859	0.587696044185832	0.612852914409604	0.589567462821347	0.576935386942385	0.593584422900694	0.552432102990512	0.58883665845516	0.606845122611885	0.541619858608553	0.551560935281302	0.557692020841732	0.580368129420223	0.561553351450669	0.582408227636664	0.614859094634987	0.539707554349784	0.601036851930018	0.588590773746205	0.578046996168508	0.545700454688571	0.556730543682545	0.609156182395084	0.588218235369493	0.570365022793509	0.594839275480397	0.575032283698748	0.569786779358972	0.603063873949441	0.588646833101681	0.599268530945868	0.577117273728784	0.572709320838539	0.586366595244563	0.586268690385477	0.598637818167047	0.605845582387718	0.598850132371767	0.611675570995181	0.612334621608738	0.623759302370651	0.594598132244108	0.614069815731056	0.583168750223991	0.608386449497388	0.603567230515043	0.562877072003755	0.563255395741893	0.609904404835449	0.615541091184316	0.583655445861593	0.602692325242807	0.59809150402696	0.598689092232873	0.554784867145059	0.564319080781437	0.578226793309712	0.595698064731913	0.541671500797036	0.567312129778614	0.582146354131008	0.631761756669059	0.597344715790019	0.577703139084951	0.634649390357306	0.585780877829366	0.631683648772839
Immature.B.cell	0.562537263433265	0.666006903027315	0.623750761289397	0.696026536223643	0.560119679397427	0.54459467126701	0.541758855668702	0.62353774448067	0.538462963260481	0.658906138110771	0.576139776104476	0.660383266629126	0.555579330610768	0.549615827792794	0.500169971261842	0.554156480177187	0.543662931000626	0.6638174946032	0.571049641087694	0.568898220829677	0.572382432396514	0.550951477415288	0.621790858514237	0.590616969409013	0.597638010400785	0.596364143486043	0.651449027115054	0.589875739056374	0.519696637240763	0.551706181007633	0.696239837719261	0.56844515866482	0.683657216355932	0.597146122213651	0.545716193521634	0.529748060671988	0.575647063775626	0.461237924135294	0.637320490437633	0.579204250290474	0.566545303907887	0.659455253263425	0.529626084169171	0.594076668357651	0.564029329123622	0.619719916296964	0.548256599798744	0.617525503655993	0.519692982949604	0.640170994163562	0.598285062312419	0.491318072424813	0.580654173084975	0.500566890451702	0.522879407900361	0.506498822067995	0.536786228127526	0.58401428946047	0.530777546622326	0.605882806552384	0.587137896372577	0.453096911420009	0.497553723965551	0.653870921415591	0.537941823384389	0.653773130546229	0.593172615604801	0.593613253453019	0.659394813082901	0.59319466466184	0.574112504213979	0.705175864117594	0.542218261156337	0.57035948187275	0.585840101266049	0.625463369801246	0.502218089464179	0.633706921910921	0.594366235799835	0.599191748451482	0.536890565709008	0.588673269814122	0.507669010913971	0.613519106101018	0.595865963827522	0.611565433155715	0.55194105676854	0.571055689141365	0.641856347608342	0.562564754497898	0.479464452469016	0.53784098548314	0.570611849985937	0.583838950062715	0.578932457180076	0.549219874146105	0.71656847836097	0.575794173646839	0.667656113142582	0.57306201639658	0.646721666381693	0.643320761814725	0.618223748226021	0.57874114735597	0.660286249437185	0.650617047609533	0.587278532517743	0.650376239088248	0.677420729760521	0.672540623572818	0.611803626453333	0.628497901229248	0.610065350833466	0.59581671675612	0.623340496399777	0.536364997859882	0.502055312335608	0.562368635960105	0.50095515429764	0.557201922303355	0.516437164580545	0.497614538725837	0.501804658680274	0.592693392832659	0.504064588405507	0.616032002830503	0.604470936418678	0.652023728938149	0.636727176996592	0.566394961233223	0.633177222750914	0.520090929887552	0.5609265032937
Immature.dendritic.cell	0.517382723296294	0.531705478593367	0.533299865371665	0.525864837718329	0.527585109378043	0.52288251679725	0.491570906541018	0.517481690606065	0.493517624794285	0.521336004644229	0.51908783037031	0.516070095333215	0.526908392222903	0.502965219476568	0.485283989852326	0.501256633589889	0.504073810037224	0.497668166798738	0.504190098491739	0.525089601862031	0.511639204049141	0.49273220084977	0.491955782668969	0.501360140375875	0.502202475593957	0.532678022953587	0.515634497579139	0.521514262896684	0.506168686164102	0.508137783306081	0.511163533522513	0.510128511639104	0.495179885301541	0.511345676018031	0.493671254546531	0.497995748830184	0.526183722640643	0.466228704063795	0.510099073946375	0.495155450079402	0.505340121455395	0.497290603855619	0.501656961688278	0.506700298878168	0.481350744872822	0.50030259769292	0.500233579671753	0.513581454907198	0.482403849252354	0.496272275602314	0.484714604930248	0.483532968481216	0.496105724834582	0.50167635925193	0.469991446743988	0.484007739776701	0.481152300221121	0.473318336270288	0.480805067772446	0.48609333348877	0.481974241254375	0.487895104846628	0.479175114652436	0.490478781260824	0.51596996197551	0.531646174639332	0.506315282697119	0.49860391192369	0.511297946707055	0.507937328088633	0.498470380702865	0.516498130607344	0.489171899544094	0.494753447292173	0.515445912080914	0.463902058773487	0.464854971512321	0.494814939757494	0.512090627347604	0.505663052158727	0.503475798533144	0.50246964536645	0.486339685000476	0.502056914806833	0.508390800536155	0.496808615616516	0.475690202713121	0.490339975331119	0.477200368218814	0.513190047492966	0.467728222155065	0.505879150481734	0.509712573372261	0.489178134596357	0.498524304180916	0.502686701037928	0.452726394299427	0.507743898237823	0.517506344037618	0.509851155381045	0.517795872844404	0.524119449621723	0.52037669750918	0.518006395259167	0.528591117797158	0.502288145723736	0.509156608936356	0.512988356563283	0.506731260675736	0.530895815654566	0.506797269721026	0.524367668415604	0.490955289839868	0.500258793923959	0.509152395525233	0.474532255464728	0.49860424648956	0.532614716753923	0.510137134355288	0.533181191329272	0.496069311341863	0.481668961609974	0.490287806387361	0.510537653252146	0.479927334755264	0.471262726248366	0.492784350419899	0.528236881317384	0.508649815270912	0.450843597984484	0.524033594090958	0.471220081300543	0.535017122436199
