id	logFC	entrezID
DLST	-0.931970758730159	1743
PIP5K1A	-0.540086769841269	8394
LSP1	-1.10000543333333	4046
TRRAP	-0.893389041269838	8295
RALA	0.799145669841271	5898
PTK2B	-0.611492549206343	2185
PIK3CD	-0.773172512698411	5293
RAB5C	-0.559009479365075	5878
CYTH1	-0.618580163492064	9267
NDRG3	-0.52311007460318	57446
CHD1	0.946027552380956	1105
MYO9B	-0.699389196825392	4650
PPP2R1A	-0.55594461111111	5518
PPM1A	0.892363688888889	5494
CPSF7	-0.566354547619049	79869
MYH9	-0.945718403174601	4627
FMNL1	-0.842392646031746	752
CORO1A	-0.733334615873016	11151
ELMO1	-0.684676065079357	9844
CNOT3	-0.661197241269844	4849
BFAR	0.583739409523812	51283
WDR1	-0.518250428571426	9948
ZNF91	0.948116022222219	7644
MAP7D1	-0.627593747619049	55700
ACLY	-0.541759831746031	47
SRSF5	-0.622424223809523	6430
PSD4	-0.798476765079366	23550
SBNO2	-0.916380960317456	22904
CD3G	1.28274304761905	917
PSMA7	0.648683133333332	5688
CAMLG	0.667693257142851	819
CNN2	-0.842744750793647	1265
PXN	-0.895162663492052	5829
BBX	0.755478977777775	56987
UQCR11	1.21148565555556	10975
TP53	-0.855369999999999	7157
STAT6	-0.677506385714285	6778
TET3	-0.677642520634915	200424
PRKCD	-0.870559568253965	5580
RPL9	1.89195402857143	6133
AKIRIN1	0.737662930158729	79647
RNF19B	-0.708708869841262	127544
TLN1	-1.00453074285714	7094
APOBR	-0.997294638095239	55911
LAMP1	-0.595986006349202	3916
ARHGEF11	-0.611173874603171	9826
CREBBP	-0.707642501587301	1387
RAPGEF6	-0.958374426984125	51735
SRPR	-0.500198830158732	NA
ARHGEF2	-0.61832326349206	9181
DGKA	-0.818515893650796	1606
IRF2	-0.524318355555554	3660
BHLHE40	-0.626270203174604	8553
NFYC	-0.500533523809526	4802
UBE4B	-0.642077426984124	10277
PTPN6	-0.535390609523807	5777
UPF1	-0.547355585714286	5976
NUP93	-0.517115825396823	9688
INPP5D	-0.579826550793651	3635
RPL27	1.2357340015873	6155
MRPL57	0.514535687301588	78988
GLRX2	0.543096885714288	51022
ICAM1	-0.575435841269842	3383
PDP1	0.940200969841272	54704
GBF1	-0.594162103174603	8729
ITGB2	-0.546635573015873	3689
