id	logFC	AveExpr	t	P.Value	adj.P.Val	B
DLST	-0.931970758730159	7.99296523308271	-18.2837484450928	3.09896495395109e-38	3.88858122421783e-34	75.9032743043433
PIP5K1A	-0.540086769841269	6.90475778947368	-13.1785023484358	5.87000557869711e-26	3.68284150007456e-22	48.3439603994169
LSP1	-1.10000543333333	11.5276705338346	-12.3806361133485	5.9802278884485e-24	2.14111271405284e-20	43.8163310843666
TRRAP	-0.893389041269838	7.40150365413534	-12.3578997364941	6.82535133583947e-24	2.14111271405284e-20	43.6868445629762
RALA	0.799145669841271	6.06569114285714	11.9125287606086	9.121669176178e-23	2.28917409645363e-19	41.1467148955267
PTK2B	-0.611492549206343	8.66800902255639	-11.853736620396	1.28490184654407e-22	2.68715806173917e-19	40.8109734656885
PIK3CD	-0.773172512698411	9.20587779699248	-11.7762116217754	2.01891158281907e-22	3.61904322017338e-19	40.3681433546951
RAB5C	-0.559009479365075	10.2049774210526	-11.5887203822566	6.0239520695449e-22	9.40947219032922e-19	39.2967602654313
CYTH1	-0.618580163492064	8.94092169924812	-11.5692340649185	6.74890418496677e-22	9.40947219032922e-19	39.1853837432672
NDRG3	-0.52311007460318	7.69784308270677	-11.5147759641429	9.27174076894335e-22	1.16341803168701e-18	38.8741034883842
CHD1	0.946027552380956	9.31009471428571	11.4462465158343	1.38272578588291e-21	1.57731301465989e-18	38.4823629969126
MYO9B	-0.699389196825392	8.38766667669173	-11.408755853016	1.72066352314715e-21	1.79924049070421e-18	38.2680431135492
PPP2R1A	-0.55594461111111	9.4350842556391	-11.3757246071483	2.08622229410564e-21	2.01368594972597e-18	38.0792132176981
PPM1A	0.892363688888889	9.01523135338346	11.3403378263054	2.56442906841198e-21	2.29846113931668e-18	37.8769164547048
CPSF7	-0.566354547619049	10.0098768496241	-11.2952049601225	3.33659723238352e-21	2.6104890970035e-18	37.6189056407264
MYH9	-0.945718403174601	10.906363075188	-11.2886007374416	3.46761366315353e-21	2.6104890970035e-18	37.5811517075001
FMNL1	-0.842392646031746	10.2074417669173	-11.2852188045788	3.53668430419665e-21	2.6104890970035e-18	37.5618184834797
